id,legalName,country,source
company-81c7b55d452b65ea3f2343f4,ARQ Nationaal Psychotrauma Centrum,Netherlands,official-sponsor-register
company-1661f0d1467680fd3d3e8e05,ARRIS Group B.V.,Netherlands,official-sponsor-register
company-77276cf2862d8fbc19f1460d,ARS Traffic & Transport Technology B.V.,Netherlands,official-sponsor-register
company-9b1d4345e7b97f5802f89613,AS Colour B.V.,Netherlands,official-sponsor-register
company-a1cc40c26a19ead5924eb729,AS Operations Holding B.V.,Netherlands,official-sponsor-register
company-ea1eee6feb8e7e6c297ee45f,ASA International N.V.,Netherlands,official-sponsor-register
company-5f4d3ee2f40f8f050a88d763,ASAHI INTECC EUROPE B.V.,Netherlands,official-sponsor-register
company-8026069af5fa52f5eab50c06,ASAMCO,Netherlands,official-sponsor-register
company-3c92a482eb19e2f5164decbf,ASCI Netherlands B.V.,Netherlands,official-sponsor-register
company-030032b0051d0d63ee913a06,ASE NL Service Center B.V.,Netherlands,official-sponsor-register
company-077317552a2b12c85cdbb0bc,ASICS Europe B.V.,Netherlands,official-sponsor-register
company-d53b83a12f937523d69817a0,ASICS Technology B.V.,Netherlands,official-sponsor-register
company-ca725bb0e75e5a2b091ca35e,ASL Dutch B.V.,Netherlands,official-sponsor-register
company-b09b55f06321af3d83d1f12b,ASL Global B.V.,Netherlands,official-sponsor-register
company-4b720429946f63f05d91b9c9,ASM Europe BV,Netherlands,official-sponsor-register
company-23d429bee3252c1d7a84ddba,ASM IP Holding B.V.,Netherlands,official-sponsor-register
company-a810d7f72043568e757de8dd,ASM International N.V.,Netherlands,official-sponsor-register
company-2bd0d5442b68e87f2c7212de,ASM Maritime B.V.,Netherlands,official-sponsor-register
company-cee83711194da3778a707fdb,ASML Holding N.V.,Netherlands,official-sponsor-register
company-1061e16315a71ac7bece3294,ASML Trading B.V.,Netherlands,official-sponsor-register
company-b1b59fd05113114a87fef027,ASMPT ALSI B.V.,Netherlands,official-sponsor-register
company-8cf65f067d16e313a51e1a84,ASN Bank N.V.,Netherlands,official-sponsor-register
company-cbed4710aed268b3166c3d2f,ASP The Netherlands B.V.,Netherlands,official-sponsor-register
company-f47d31b42875eeddec013b8c,ASR Nederland N.V.,Netherlands,official-sponsor-register
company-abfeea6c507f4188410fee2a,ASRock Europe B.V.,Netherlands,official-sponsor-register
company-8a18c7571ddd22882e8c83c7,ASSET Rail B.V.,Netherlands,official-sponsor-register
company-93454760104d74bcd59fbba0,ASUS Holland B.V.,Netherlands,official-sponsor-register
company-1b64116104008b1996e26491,AT&T Global Network Services Nederland B.V.,Netherlands,official-sponsor-register
company-7dffa7c71a0c6245dd6ec292,ATA Mute B.V.,Netherlands,official-sponsor-register
company-9a14b549f24ce7a52891e965,ATAG Nederland B.V.,Netherlands,official-sponsor-register
company-3905d8893b781b324f308ca8,ATC Europe Coöperatief U.A.,Netherlands,official-sponsor-register
company-1def73925f8257ebdeab12d9,ATC International Coöperatief U.A.,Netherlands,official-sponsor-register
company-4b3e2fc3d11be06cba3cc2c8,ATC International Financing B.V.,Netherlands,official-sponsor-register
company-fe440def1324592e96882245,ATENSUS Detachering B.V.,Netherlands,official-sponsor-register
company-0118b0c3289a7f88e77ebb87,ATG Engineering B.V.,Netherlands,official-sponsor-register
company-72deb80fe62fc4bf9cd7fcf6,ATG Netherlands B.V.,Netherlands,official-sponsor-register
company-9d9a915630636f40eef83da0,ATO-gear B.V.,Netherlands,official-sponsor-register
company-6d42aff8a9548e31df03652a,ATOS INTERNATIONAL B.V.,Netherlands,official-sponsor-register
company-29f1f714730b1b1f969fc9ad,ATR Infra-Services B.V.,Netherlands,official-sponsor-register
company-ac589de42caa8b29ef5956ef,ATS Global B.V.,Netherlands,official-sponsor-register
company-9ae26f03a3857a10f373b747,ATS Group Holding B.V.,Netherlands,official-sponsor-register
company-8ede1f50b3a737553b655e22,AUO Display Plus Netherlands B.V.,Netherlands,official-sponsor-register
company-1825873ac04d64690c6d3f20,AUO Europe B.V.,Netherlands,official-sponsor-register
company-d66f141708ed607e8e18f654,AV Flexologic B.V.,Netherlands,official-sponsor-register
company-8228240b1f7c344a8c331d7a,AV Group B.V.,Netherlands,official-sponsor-register
company-b27e5e25814bc29d1872c2d6,AVA ALMS VALVE AGENCY B.V.,Netherlands,official-sponsor-register
company-d6e69b661ed38a3c1b9f4f83,AVB Language Group,Netherlands,official-sponsor-register
company-f2c0495da2f866b1962ab294,AVEVA Select Benelux B.V.,Netherlands,official-sponsor-register
company-9604484ed28ec88b1ecc6cda,AVEVA Software Netherlands B.V.,Netherlands,official-sponsor-register
company-abd1835ca36b0cefaddeed09,AVK Plastics B.V.,Netherlands,official-sponsor-register
company-3629a856f88c0ad058dc1140,AVOXT B.V.,Netherlands,official-sponsor-register
company-92a1f8a358d63249af4b2ba2,AVR-Afvalverwerking B.V.,Netherlands,official-sponsor-register
company-cc20208cf8c79f8d9d455d35,AWA Alexander Watson Associates B.V.,Netherlands,official-sponsor-register
company-f6715b0606ba88f2e7ffcdd6,AWA Conferences B.V.,Netherlands,official-sponsor-register
company-bc3d288fad2d3c9a441b761c,AWAREWAYS B.V.,Netherlands,official-sponsor-register
company-0a727609fe4f873cae859025,AWIN B.V.,Netherlands,official-sponsor-register
company-d6fecaaa442cd796e1b80910,AWL-Techniek B.V.,Netherlands,official-sponsor-register
company-0fae471bb82f7ff069e827f1,AWay4Africa,Netherlands,official-sponsor-register
company-d2fb57eb90c973a8f7b77bbc,AXELERA AI B.V.,Netherlands,official-sponsor-register
